no,nama_barang,jumlah,satuan,harga_rp,total_harga_rp,exp_date,keterangan
1,Kertas linen F4,1,1 rim,67000,67000,,
2,Cling wrap,1,1,27500,27500,,
3,Kertas F4 Sidu,1,1 rim,66000,66000,,
4,Kertas A4 Sidu,1,1 rim,55000,55000,,
5,Kantong plastik,1,1 pcs,25000,25000,,
6,isolasi bening,14,14 bh,16000,224000,,
7,isolasi coklat,28,28 bh,16000,448000,,
8,bantek biru,6,,15500,93000,,
9,bantek hitam,10,,15500,155000,,
10,Stamp Pad,10,,8000,80000,,
11,Tinta epson 664 C,3,,115000,345000,,
12,korpri bordir,5,,7500,37500,,
13,Tape dispenser,1,,37000,37000,,
14,dompet merah BIG,1,,7500,7500,,
15,Stapler HD 10 Max,12,,17500,210000,,
16,Tipe X Joyko,2,,6000,12000,,
17,Sandisk 32 GB,1,,115000,115000,,
18,Push Pins,11,,7000,77000,,
19,Sticky Notes,5,,8500,42500,,
20,Sticky Notes,17,,7500,127500,,
21,Index Mark,6,,9000,54000,,
22,Gunting Montana 165,3,,7000,21000,,
23,Gunting Joyko,9,,8500,76500,,
24,Tape Cutter Joyko TD 103,1,,25000,25000,,
25,Tape dispenser smile Td 103,2,,22000,44000,,
26,A5 Notes Paperline,2,,5000,10000,,
27,Tape bening Nachi 24 mm,4,,7500,30000,,
28,isolasi Hitam seven star,4,,8500,34000,,
29,Kertas foto specta color,10,rim,25000,250000,,A4 230 g
30,Map Mika,28,,3000,84000,,
31,Galon Cleo,2,,18500,37000,,
32,Galon Cleo isi ulang,2,,6500,13000,,
33,bed,3,,5000,15000,,
34,Galon Aqua,3,,18500,55500,,
35,Siip 4 Gram,100,bungkus,450,45000,46126,
36,Beng-beng 374 g,34,bungkus,1700,57800,46204,
37,Miko 15 g,36,bungkus,1500,54000,46174,
38,Miko 6 g,58,bungkus,450,26100,46235,
39,Good Time,42,bungkus,1500,63000,,
40,Chocolatos,24,bungkus,950,22800,46240,
41,Milkita Bites,30,,950,28500,46204,
42,Pilus,1,,450,450,46214,
43,Wafle,11,,1700,18700,46323,
44,Fruz Gummy,332,,450,149400,46345,
45,Beng-beng 374 g,29,,1700,49300,46204,
46,Milkita,8,,950,7600,,
47,Hot Pop,9,,450,4050,46344,
48,Milkita Bites,36,,950,34200,46204,
49,Wafle,83,,1700,141100,46268,
50,Milkita S,32,,950,30400,,
51,CannonBall,182,,450,81900,46732,
52,Fullo Sticky,25,,450,11250,46228,
53,Fruz Candy,13,,450,5850,,
54,Fullo 500,61,,450,27450,46327,
55,Wallut,13,,1700,22100,46342,
56,Imperial,8,,1700,13600,46265,
57,Chocolatos,7,,950,6650,46240,
58,Siip 4 Gram,18,,450,8100,46126,
59,Go Rio,21,,950,19950,46205,
60,Tango,46,,1500,69000,46372,
61,Aoka Roll,2,,2000,4000,46066,
62,Nabati,18,,1700,30600,46220,
63,Fugu,7,,1700,11900,46215,
64,Milko,2,,1700,3400,46275,
65,Gopek,8,,1700,13600,46142,
66,Siip,3,,1700,5100,46167,
67,Tic tic,4,,1700,6800,46107,
68,Wafle,26,,1500,39000,46323,
69,Sus Coklat,9,,2500,22500,46268,
70,Eagle Spray,2,,55000,110000,,
71,Alkaline AAA,3,,15000,45000,,
72,Aromatic,5,,10000,50000,,
73,234 Kretek,2,,20000,40000,,
74,GJB K 16,1,,9800,9800,,
75,GLB K 12,1,,9400,9400,,
76,S Mild,7,,35000,245000,,
77,Surya 12,4,,26500,106000,,
78,Aga,4,,14500,58000,,
79,GJB F 12,6,,17000,102000,,
80,GLB F 12,6,,16000,96000,,
81,TATRA,8,,3000,24000,,
82,Cutter Joyko,3,,13500,40500,,
83,Cutter Blade,4,,9000,36000,,
84,Balliner Piot,10,,15000,150000,,
85,Stapler HD 50,3,,21000,63000,,
86,Binder Clip 155,1,,1000,1000,,
87,Binder Clip 260,7,,1500,10500,,
88,Snowman Permanen,13,,9000,117000,,
89,Tizo Gel Liner Biru,21,,22500,472500,,
90,Snowman Board Marker,4,,8000,32000,,
91,Mouse Logitech M 170,1,,250000,250000,,
92,Amplop 92,92,,450,41400,,
93,Aqua 600 ml,2,,2100,4200,,
94,Cristalyn 600 ml,22,,2100,46200,,
