id,name,category,barcode,price,discountPct,taxPct,stock,isActive,imageUrl
,234 Kretek,OTHER,,20000,0,0,2,true,
,A5 Notes Paperline,OTHER,,5000,0,0,2,true,
,ABC KOPI SUSU,OTHER,,1500,0,0,9,true,
,Aga,OTHER,,14500,0,0,4,true,
,Alkaline AAA,OTHER,,15000,0,0,3,true,
,Amplop 92,OTHER,,450,0,0,92,true,
,Aoka Roll,OTHER,,2000,0,0,2,true,
,Aqua 600 ml,OTHER,,2100,0,0,2,true,
,Aromatic,OTHER,,10000,0,0,5,true,
,Balliner Piot,OTHER,,15000,0,0,10,true,
,bantek biru,OTHER,,15500,0,0,6,true,
,bantek hitam,OTHER,,15500,0,0,10,true,
,bed,OTHER,,5000,0,0,3,true,
,Beng-beng 374 g,OTHER,,1700,0,0,63,true,
,Beras 5 Kg,OTHER,,76000,0,0,1,true,
,Binder Clip 155,OTHER,,1000,0,0,1,true,
,Binder Clip 260,OTHER,,1500,0,0,7,true,
,Boom 225,OTHER,,4500,0,0,16,true,
,Bumbu master cocok 25,OTHER,,450,0,0,16,true,
,Bumbu master kaldu ayam 8,OTHER,,450,0,0,22,true,
,Bumbu master kaldu sapi 8,OTHER,,450,0,0,15,true,
,Camilan Raffa,OTHER,,1700,0,0,96,true,
,CannonBall,OTHER,,450,0,0,182,true,
,Chocolatos,OTHER,,950,0,0,31,true,
,Cimory Yogurt 40 g,OTHER,,2500,0,0,7,true,
,Ciptaden 30,OTHER,,3500,0,0,1,true,
,Cleo 1500,OTHER,,4200,0,0,5,true,
,Cleo 500,OTHER,,1800,0,0,7,true,
,cleo 500 ml,OTHER,,1800,0,0,24,true,
,Cling 425,OTHER,,6500,0,0,10,true,
,Cling 440,OTHER,,9500,0,0,1,true,
,Cling wrap,OTHER,,27500,0,0,1,true,
,Cristalyn 600 ml,OTHER,,2100,0,0,34,true,
,Cutter Blade,OTHER,,9000,0,0,4,true,
,Cutter Joyko,OTHER,,13500,0,0,3,true,
,dompet merah BIG,OTHER,,7500,0,0,1,true,
,Eagle Spray,OTHER,,55000,0,0,2,true,
,energen coklat,OTHER,,2000,0,0,17,true,
,es batu,OTHER,,11000,0,0,2,true,
,F Flag 110 ml,OTHER,,2500,0,0,13,true,
,Floridina 350,OTHER,,3100,0,0,4,true,
,Fresco capucino,OTHER,,1500,0,0,1,true,
,Fruz Candy,OTHER,,450,0,0,13,true,
,Fruz Gummy,OTHER,,450,0,0,332,true,
,Fugu,OTHER,,1700,0,0,7,true,
,Fullo 500,OTHER,,450,0,0,61,true,
,Fullo Sticky,OTHER,,450,0,0,25,true,
,Galon Aqua,OTHER,,18500,0,0,3,true,
,Galon Cleo,OTHER,,18500,0,0,2,true,
,Galon Cleo isi ulang,OTHER,,6500,0,0,2,true,
,Garam meja 250,OTHER,,2500,0,0,5,true,
,GJB F 12,OTHER,,17000,0,0,6,true,
,GJB K 16,OTHER,,9800,0,0,1,true,
,GLB F 12,OTHER,,16000,0,0,6,true,
,GLB K 12,OTHER,,9400,0,0,1,true,
,Go Rio,OTHER,,950,0,0,21,true,
,good day capucino,OTHER,,2500,0,0,10,true,
,good day original,OTHER,,2000,0,0,6,true,
,Good Time,OTHER,,1500,0,0,42,true,
,Gopek,OTHER,,1700,0,0,8,true,
,Gula,OTHER,,17500,0,0,18,true,
,Gunting Joyko,OTHER,,8500,0,0,9,true,
,Gunting Montana 165,OTHER,,7000,0,0,3,true,
,harmony,OTHER,,3000,0,0,4,true,
,Harmony Cair 400,OTHER,,17000,0,0,6,true,
,Hot Pop,OTHER,,450,0,0,9,true,
,Imperial,OTHER,,1700,0,0,8,true,
,Index Mark,OTHER,,9000,0,0,6,true,
,indomie goreng,OTHER,,3000,0,0,10,true,
,indomie rendang jumbo,OTHER,,4000,0,0,15,true,
,indomie soto,OTHER,,3000,0,0,3,true,
,indomilk coklat,OTHER,,1700,0,0,3,true,
,indomilk susu,OTHER,,1700,0,0,11,true,
,isolasi bening,OTHER,,16000,0,0,14,true,
,isolasi coklat,OTHER,,16000,0,0,28,true,
,isolasi Hitam seven star,OTHER,,8500,0,0,4,true,
,jasjus,OTHER,,1500,0,0,17,true,
,Kantong plastik,OTHER,,25000,0,0,1,true,
,kapal api 350,OTHER,,52500,0,0,1,true,
,kapal api sc,OTHER,,950,0,0,26,true,
,Kertas A4 Sidu,OTHER,,55000,0,0,1,true,
,Kertas F4 Sidu,OTHER,,66000,0,0,1,true,
,Kertas foto specta color,OTHER,,25000,0,0,10,true,
,Kertas linen F4,OTHER,,67000,0,0,1,true,
,Kopi ABC 200,OTHER,,4500,0,0,4,true,
,Kopi jahe,OTHER,,1500,0,0,4,true,
,Kopikap Jumbo,OTHER,,1700,0,0,23,true,
,korpri bordir,OTHER,,7500,0,0,5,true,
,Ladaku,OTHER,,950,0,0,23,true,
,lotion lervia,OTHER,,13000,0,0,5,true,
,lotion yumeda,OTHER,,15000,0,0,1,true,
,Mama lemon 58,OTHER,,950,0,0,12,true,
,Map Mika,OTHER,,3000,0,0,28,true,
,Mie Gelas,OTHER,,950,0,0,10,true,
,Migo Sunco 2 lt,OTHER,,41500,0,0,8,true,
,Migor 500 ml,OTHER,,10500,0,0,5,true,
,Miko 15 g,OTHER,,1500,0,0,36,true,
,Miko 6 g,OTHER,,450,0,0,58,true,
,Milkita,OTHER,,950,0,0,8,true,
,Milkita Bites,OTHER,,950,0,0,66,true,
,Milkita S,OTHER,,950,0,0,32,true,
,Milko,OTHER,,1700,0,0,2,true,
,Milku 200,OTHER,,3100,0,0,6,true,
,Mouse Logitech M 170,OTHER,,250000,0,0,1,true,
,Nabati,OTHER,,1700,0,0,18,true,
,Nutrisari,OTHER,,950,0,0,109,true,
,Obat Pel Nikki,OTHER,,18500,0,0,1,true,
,Pilus,OTHER,,450,0,0,1,true,
,Protex,OTHER,,950,0,0,6,true,
,Push Pins,OTHER,,7000,0,0,11,true,
,S Mild,OTHER,,35000,0,0,7,true,
,Sabun Cair Medycare 85,OTHER,,6000,0,0,9,true,
,Sajiku 40,OTHER,,1700,0,0,10,true,
,Sandisk 32 GB,OTHER,,115000,0,0,1,true,
,segar dingin,OTHER,,950,0,0,11,true,
,segitiga biru 500,OTHER,,7000,0,0,2,true,
,segitiga biru1000,OTHER,,13500,0,0,1,true,
,Shampoo Lifebuoy,OTHER,,450,0,0,5,true,
,shinzui,OTHER,,5000,0,0,45,true,
,Siip,OTHER,,1700,0,0,3,true,
,Siip 4 Gram,OTHER,,450,0,0,118,true,
,Sikat Gigi Formula,OTHER,,2500,0,0,19,true,
,Snowman Board Marker,OTHER,,8000,0,0,4,true,
,Snowman Permanen,OTHER,,9000,0,0,13,true,
,So Klin Lantai 52,OTHER,,950,0,0,34,true,
,Stamp Pad,OTHER,,8000,0,0,10,true,
,Stapler HD 10 Max,OTHER,,17500,0,0,12,true,
,Stapler HD 50,OTHER,,21000,0,0,3,true,
,Sticky Notes,OTHER,,8500,0,0,22,true,
,Sukses ayam kecap,OTHER,,3800,0,0,17,true,
,Surya 12,OTHER,,26500,0,0,4,true,
,Sus Coklat,OTHER,,2500,0,0,9,true,
,Tango,OTHER,,1500,0,0,46,true,
,Tape bening Nachi 24 mm,OTHER,,7500,0,0,4,true,
,Tape Cutter Joyko TD 103,OTHER,,25000,0,0,1,true,
,Tape dispenser,OTHER,,37000,0,0,1,true,
,Tape dispenser smile Td 103,OTHER,,22000,0,0,2,true,
,TATRA,OTHER,,3000,0,0,8,true,
,Telur,OTHER,,30000,0,0,4,true,
,The gelas 200,OTHER,,1700,0,0,24,true,
,The Gelas 350,OTHER,,2500,0,0,22,true,
,Tic tic,OTHER,,1700,0,0,4,true,
,Tinta epson 664 C,OTHER,,115000,0,0,3,true,
,Tipe X Joyko,OTHER,,6000,0,0,2,true,
,Tizo Gel Liner Biru,OTHER,,22500,0,0,21,true,
,TOP Capucino,OTHER,,1500,0,0,13,true,
,Top Mokacino,OTHER,,1700,0,0,5,true,
,Tora Caffe 180,OTHER,,4500,0,0,9,true,
,Vita Jelly,OTHER,,950,0,0,95,true,
,Wafle,OTHER,,1700,0,0,120,true,
,Wallut,OTHER,,1700,0,0,13,true,
,Yumeda Cair 400,OTHER,,18000,0,0,2,true,
